Episode,path
133,"[array([0, 0, 9]), array([-1, -1,  6])]"
134,"[array([2, 2, 9]), array([2, 3, 9]), array([3, 4, 6]), array([2, 5, 7])]"
135,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([2, 1, 9]), array([1, 0, 6]), array([0, 1, 7]), array([-1,  2,  6])]"
136,"[array([2, 1, 6]), array([3, 2, 9]), array([2, 1, 6]), array([1, 2, 7]), array([2, 3, 8]), array([3, 2, 9]), array([3, 1, 9]), array([2, 0, 6]), array([1, 1, 7]), array([2, 2, 8])]"
137,"[array([0, 0, 9]), array([-1, -1,  6])]"
138,"[array([2, 1, 6]), array([1, 2, 7]), array([2, 3, 8]), array([3, 3, 8]), array([2, 3, 8]), array([3, 2, 9]), array([4, 3, 6]), array([3, 4, 7]), array([4, 5, 8])]"
139,"[array([2, 2, 9]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  2,  7])]"
140,"[array([0, 1, 6]), array([-1,  2,  7])]"
141,"[array([0, 1, 6]), array([1, 1, 6]), array([2, 2, 9]), array([3, 1, 8]), array([2, 1, 8]), array([3, 2, 7]), array([4, 1, 6]), array([3, 1, 6]), array([4, 2, 9]), array([4, 1, 9])]"
142,"[array([2, 0, 7]), array([2, 1, 7]), array([1, 2, 6]), array([2, 1, 7]), array([1, 2, 6]), array([0, 1, 9]), array([0, 2, 9]), array([0, 3, 9]), array([1, 2, 8]), array([2, 1, 9])]"
143,"[array([0, 0, 9]), array([ 1, -1,  8])]"
144,"[array([0, 0, 9]), array([ 1, -1,  8])]"
145,"[array([0, 0, 9]), array([ 1, -1,  8])]"
146,"[array([0, 0, 9]), array([-1, -1,  6])]"
147,"[array([0, 0, 9]), array([-1, -1,  6])]"
148,"[array([2, 1, 6]), array([3, 1, 6]), array([2, 2, 7]), array([1, 3, 6]), array([0, 2, 9]), array([1, 1, 8]), array([2, 2, 7]), array([1, 3, 6]), array([0, 3, 6]), array([1, 2, 7])]"
149,"[array([0, 1, 6]), array([-1,  0,  9])]"
150,"[array([0, 1, 6]), array([-1,  2,  7])]"
151,"[array([0, 2, 7]), array([0, 3, 7]), array([0, 4, 7]), array([1, 5, 8])]"
152,"[array([2, 1, 6]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  1,  6])]"
153,"[array([2, 2, 9]), array([2, 1, 9]), array([2, 2, 9]), array([3, 1, 8]), array([4, 1, 8]), array([5, 0, 9])]"
154,"[array([0, 1, 6]), array([1, 1, 6]), array([2, 1, 6]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  0,  9])]"
155,"[array([0, 1, 6]), array([-1,  1,  6])]"
156,"[array([0, 1, 6]), array([1, 1, 6]), array([0, 1, 6]), array([-1,  1,  6])]"
157,"[array([0, 1, 6]), array([-1,  1,  6])]"
158,"[array([0, 1, 6]), array([-1,  1,  6])]"
159,"[array([0, 1, 6]), array([-1,  1,  6])]"
160,"[array([2, 0, 7]), array([2, 1, 7]), array([2, 2, 7]), array([1, 1, 8]), array([2, 1, 8]), array([3, 1, 8]), array([2, 2, 9]), array([3, 3, 6]), array([4, 3, 6]), array([3, 4, 7])]"
161,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([2, 1, 9]), array([3, 0, 8]), array([ 4, -1,  9])]"
162,"[array([2, 2, 9]), array([1, 1, 6]), array([0, 2, 7]), array([0, 3, 7]), array([1, 4, 8]), array([0, 4, 8]), array([1, 5, 7])]"
163,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 0, 7]), array([ 1, -1,  8])]"
164,"[array([2, 0, 7]), array([ 3, -1,  6])]"
165,"[array([2, 0, 7]), array([3, 1, 8]), array([4, 0, 9]), array([ 4, -1,  9])]"
166,"[array([2, 0, 7]), array([ 1, -1,  8])]"
167,"[array([0, 2, 7]), array([-1,  1,  8])]"
168,"[array([0, 0, 9]), array([ 0, -1,  9])]"
169,"[array([2, 0, 7]), array([ 1, -1,  8])]"
170,"[array([2, 0, 7]), array([ 3, -1,  6])]"
171,"[array([2, 0, 7]), array([2, 1, 7]), array([1, 0, 8]), array([ 0, -1,  7])]"
172,"[array([2, 0, 7]), array([1, 1, 6]), array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([1, 1, 6]), array([2, 1, 6]), array([1, 2, 7]), array([2, 3, 8]), array([3, 2, 9])]"
173,"[array([0, 0, 9]), array([-1, -1,  6])]"
174,"[array([0, 0, 9]), array([-1, -1,  6])]"
175,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 2, 9]), array([3, 3, 6]), array([2, 4, 7]), array([3, 5, 8])]"
176,"[array([0, 2, 7]), array([1, 3, 8]), array([2, 3, 8]), array([1, 4, 9]), array([0, 3, 6]), array([1, 2, 7]), array([2, 3, 8]), array([3, 2, 9]), array([2, 1, 6]), array([1, 2, 7])]"
177,"[array([0, 1, 6]), array([-1,  2,  7])]"
178,"[array([0, 1, 6]), array([-1,  2,  7])]"
179,"[array([0, 1, 6]), array([-1,  2,  7])]"
180,"[array([2, 0, 7]), array([3, 1, 8]), array([2, 1, 8]), array([1, 2, 9]), array([2, 3, 6]), array([1, 4, 7]), array([2, 5, 8])]"
